frame_id,event_id,event_type,milestone,motion_phase,model_raw_label,raw_label_conflict,is_peak_frame,is_contact_frame,event_start_frame,event_end_frame,peak_frame,contact_frame,bounce_frame,shot_direction,motion_energy,raw_swing_type,wrist_speed,racket_speed,ball_racket_distance,contact_score,event_contact_confidence,racket_lag_at_contact,two_hand_distance
95,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,15.0,Forehand,8.0623,0.0,,0.0,,,78.6448
96,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,8.0623,Forehand,6.0,0.0,,0.0,,,58.5235
97,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,7.0711,Forehand,7.0711,5.7009,,0.0,,,48.7647
98,2,Forehand,IN_EVENT,ready,Forehand,False,False,False,98,150,119,119,,screen_right,7.0711,Forehand,7.8102,10.0125,,0.0,0.5937,172.6507,43.3244
99,2,Forehand,IN_EVENT,ready,Forehand,False,False,False,98,150,119,119,,screen_right,7.0711,Forehand,5.099,0.0,,0.0,0.5937,172.6507,38.6394
100,2,Forehand,IN_EVENT,ready,Forehand,False,False,False,98,150,119,119,,screen_right,7.0711,Forehand,7.0711,0.0,,0.0,0.5937,172.6507,36.3456
101,2,Forehand,IN_EVENT,ready,Forehand,False,False,False,98,150,119,119,,screen_right,7.0711,Forehand,7.8102,0.0,981.0406,0.0,0.5937,172.6507,33.1361
102,2,Forehand,IN_EVENT,ready,Forehand,False,False,False,98,150,119,119,,screen_right,7.8102,Forehand,5.0,12.51,921.1946,0.0,0.5937,172.6507,34.0147
103,2,Forehand,IN_EVENT,ready,Forehand,False,False,False,98,150,119,119,,screen_right,9.3825,Forehand,9.8489,17.4141,885.4937,0.0,0.5937,172.6507,30.1496
104,2,Forehand,IN_EVENT,ready,Forehand,False,False,False,98,150,119,119,,screen_right,13.0606,Forehand,15.1327,5.6569,848.9641,0.0,0.5937,172.6507,38.4708
105,2,Forehand,IN_EVENT,ready,Forehand,False,False,False,98,150,119,119,,screen_right,13.0606,Forehand,11.7047,4.1231,822.5501,0.0,0.5937,172.6507,52.1536
106,2,Forehand,IN_EVENT,ready,Forehand,False,False,False,98,150,119,119,,screen_right,11.7047,Forehand,6.4031,11.0114,804.4714,0.0,0.5937,172.6507,50.4777
107,2,Forehand,IN_EVENT,ready,Forehand,False,False,False,98,150,119,119,,screen_right,11.7047,Forehand,40.6079,20.1556,793.7063,0.0,0.5937,172.6507,88.2043
108,2,Forehand,IN_EVENT,follow_through,Forehand,False,False,False,98,150,119,119,,screen_right,40.6079,Forehand,40.6079,18.3371,794.8196,0.0,0.5937,172.6507,134.8073
109,2,Forehand,IN_EVENT,follow_through,Forehand,False,False,False,98,150,119,119,,screen_right,40.6079,Forehand,35.0,0.0,,0.0,0.5937,172.6507,183.3576
110,2,Forehand,IN_EVENT,ready,Forehand,False,False,False,98,150,119,119,,screen_right,35.0,Forehand,15.2971,0.0,,0.0,0.5937,172.6507,217.2487
111,2,Forehand,IN_EVENT,ready,Forehand,False,False,False,98,150,119,119,,screen_right,15.2971,Forehand,5.099,0.0,,0.0,0.5937,172.6507,249.0883
